Date,Open,High,Low,Close,Adj Close,Volume
2012-04-02,28.014999,28.445000,27.980000,28.334999,23.144064,12180600
2012-04-03,28.344999,28.584999,28.215000,28.455000,23.242079,11865400
2012-04-04,28.629999,28.825001,28.330000,28.480000,23.262499,14150800
2012-04-05,28.559999,29.235001,28.535000,29.090000,23.760752,16360000
2012-04-09,28.635000,28.980000,28.555000,28.709999,23.450361,12610800
2012-04-10,28.879999,28.959999,28.299999,28.389999,23.188990,18156000
2012-04-11,28.680000,29.660000,28.594999,29.645000,24.214071,24176400
2012-04-12,29.719999,30.325001,29.510000,30.315001,24.761326,24417200
2012-04-13,30.139999,30.990000,29.875000,30.834999,25.186064,30542400
2012-04-16,30.965000,31.000000,29.754999,29.825001,24.361094,25367800
2012-04-17,29.969999,29.975000,29.090000,29.330000,23.956781,30548200
2012-04-18,29.500000,30.365000,29.459999,30.165001,24.638809,18130400
2012-04-19,30.200001,30.219999,29.290001,29.405001,24.018045,18567200
2012-04-20,29.535000,29.934999,29.500000,29.580000,24.160976,16134800
2012-04-23,29.340000,29.420000,28.875000,29.280001,23.915939,15202200
2012-04-24,29.485001,29.875000,28.879999,29.025000,23.707657,17996000
2012-04-25,29.355000,29.855000,29.174999,29.750000,24.299843,14108600
2012-04-26,29.924999,30.575001,29.700001,30.330000,24.773582,29879400
2012-04-27,29.135000,29.250000,28.235001,28.715000,23.454443,54720000
2012-04-30,28.715000,28.875000,28.455000,28.684999,23.429945,18647400
2012-05-01,28.754999,29.215000,28.610001,28.830000,23.548374,13267200
2012-05-02,28.764999,29.075001,28.555000,28.959999,23.654558,13916600
2012-05-03,28.770000,28.830000,28.309999,28.325001,23.135895,16406800
2012-05-04,28.014999,28.129999,27.660000,27.780001,22.690733,18263200
2012-05-07,27.600000,27.905001,27.500000,27.740000,22.727608,12645000
2012-05-08,27.504999,27.555000,26.525000,27.094999,22.199152,20748600
2012-05-09,26.855000,27.430000,26.750000,27.049999,22.162281,17232200
2012-05-10,27.355000,27.785000,27.245001,27.424999,22.469522,15112200
2012-05-11,27.295000,27.870001,27.275000,27.504999,22.535067,14455800
2012-05-14,27.254999,27.305000,26.820000,26.834999,21.986130,11794600
2012-05-15,26.900000,27.049999,26.540001,26.670000,21.850950,19779800
2012-05-16,26.795000,27.025000,26.420000,26.510000,21.719858,15818000
2012-05-17,26.594999,26.600000,25.815001,25.834999,21.166824,17960000
2012-05-18,26.010000,26.584999,25.715000,25.764999,21.109470,22738200
2012-05-21,25.855000,26.870001,25.764999,26.850000,21.998417,20695000
2012-05-22,26.905001,27.200001,26.535000,26.684999,21.863237,15757000
2012-05-23,26.980000,27.740000,26.950001,27.645000,22.649771,18498400
2012-05-24,27.910000,28.195000,26.965000,27.379999,22.432657,20236800
2012-05-25,27.434999,27.530001,27.145000,27.280001,22.350725,10169400
2012-05-29,27.495001,27.924999,27.400000,27.790001,22.768570,12982000
2012-05-30,27.430000,27.559999,27.205000,27.365000,22.420359,10412600
2012-05-31,27.415001,27.540001,26.955000,27.445000,22.485912,15055200
2012-06-01,26.555000,27.030001,26.020000,26.075001,21.363464,17456400
2012-06-04,26.000000,26.985001,25.745001,26.950001,22.080351,24502800
2012-06-05,26.174999,26.340000,25.815001,26.205000,21.469975,22337600
2012-06-06,26.545000,26.799999,26.440001,26.735001,21.904200,13980400
2012-06-07,27.035000,27.190001,26.639999,26.719999,21.891914,14475600
2012-06-08,26.420000,26.879999,26.195000,26.795000,21.953360,12509800
2012-06-11,27.075001,27.084999,26.375000,26.415001,21.642021,9770000
2012-06-12,26.500000,26.715000,25.934999,26.520000,21.728054,21075400
2012-06-13,26.420000,26.680000,25.514999,25.635000,21.002962,21445600
2012-06-14,25.715000,26.240000,25.549999,26.165001,21.437199,16009600
2012-06-15,25.885000,26.295000,25.775000,26.270000,21.523218,20108800
2012-06-18,26.170000,27.145000,26.125000,27.090000,22.195053,15911000
2012-06-19,27.355000,27.775000,27.264999,27.559999,22.580133,15032400
2012-06-20,27.650000,27.955000,27.500000,27.820000,22.793148,14967200
2012-06-21,27.910000,27.985001,27.000000,27.035000,22.149998,12379800
2012-06-22,27.135000,27.365000,27.020000,27.320000,22.383493,9148800
2012-06-25,27.080000,27.120001,26.504999,26.645000,21.830467,10005800
2012-06-26,26.635000,27.049999,26.500000,26.975000,22.100840,9467000
2012-06-27,26.940001,27.049999,26.180000,26.375000,21.609247,14015800
2012-06-28,26.264999,26.295000,25.625000,26.045000,21.338881,15650200
2012-06-29,26.594999,26.705000,26.415001,26.660000,21.842752,16983200
2012-07-02,26.719999,26.719999,26.075001,26.395000,21.625643,10270800
2012-07-03,26.235001,26.299999,25.860001,25.969999,21.277426,9112800
2012-07-05,26.020000,26.400000,25.985001,26.200001,21.465868,8752200
2012-07-06,26.075001,26.100000,25.650000,25.985001,21.289715,12096200
2012-07-09,25.885000,26.200001,25.860001,26.195000,21.461771,9328600
2012-07-10,26.375000,26.504999,26.025000,26.170000,21.441292,10558200
2012-07-11,26.090000,26.190001,25.850000,26.080000,21.367556,8700000
2012-07-12,25.799999,26.475000,25.719999,26.340000,21.580576,10980800
2012-07-13,26.215000,26.844999,26.080000,26.805000,21.961557,11089600
2012-07-16,26.730000,26.930000,26.379999,26.450001,21.670696,9318800
2012-07-17,26.645000,26.959999,26.469999,26.865000,22.010708,8470000
2012-07-18,26.415001,26.795000,26.135000,26.650000,21.834560,11023400
2012-07-19,26.665001,27.139999,26.450001,27.100000,22.203255,10426200
2012-07-20,26.660000,26.695000,25.770000,25.980000,21.285627,23471400
2012-07-23,25.565001,25.584999,24.799999,25.299999,20.728493,21166200
2012-07-24,25.264999,25.580000,25.040001,25.240000,20.679340,12079200
2012-07-25,25.250000,25.350000,24.930000,25.205000,20.650665,13157800
2012-07-26,25.855000,26.445000,25.690001,26.200001,21.465868,28380400
2012-07-27,23.450001,24.100000,23.059999,23.735001,19.446283,56945200
2012-07-30,23.725000,23.865000,23.344999,23.440001,19.204578,17497200
2012-07-31,23.485001,23.500000,22.545000,22.639999,18.549141,30425400
2012-08-01,22.735001,22.754999,21.850000,21.889999,17.934656,33427000
2012-08-02,21.799999,22.090000,21.520000,21.580000,17.680668,30760200
2012-08-03,21.915001,22.100000,21.700001,21.955000,17.987911,24472800
2012-08-06,22.094999,22.105000,21.730000,21.740000,17.880985,19911200
2012-08-07,21.905001,22.690001,21.844999,22.655001,18.633570,25045400
2012-08-08,22.639999,22.700001,22.450001,22.645000,18.625338,16627200
2012-08-09,22.795000,22.830000,22.514999,22.555000,18.551319,18177600
2012-08-10,22.625000,22.805000,22.549999,22.785000,18.740490,13512200
2012-08-13,22.870001,23.155001,22.740000,23.055000,18.962566,16786200
2012-08-14,23.250000,23.344999,23.115000,23.215000,19.094160,14132000
2012-08-15,23.375000,24.155001,23.370001,24.049999,19.780951,29404800
2012-08-16,24.070000,24.309999,23.825001,24.200001,19.904316,19389200
2012-08-17,24.305000,24.305000,23.920000,24.110001,19.830294,17089200
2012-08-20,24.125000,24.200001,23.924999,24.025000,19.760378,12297800
2012-08-21,24.160000,24.225000,23.975000,24.045000,19.776825,14280200
2012-08-22,24.025000,24.160000,23.950001,24.059999,19.789169,11817600
2012-08-23,24.070000,24.195000,23.910000,23.950001,19.698692,13075800
2012-08-24,23.844999,24.389999,23.504999,24.350000,20.027687,18156200
2012-08-27,24.500000,24.655001,24.375000,24.570000,20.208637,16089800
2012-08-28,24.469999,24.754999,24.445000,24.680000,20.299109,13325600
2012-08-29,24.719999,24.834999,24.525000,24.584999,20.220976,12303000
2012-08-30,24.725000,25.000000,24.700001,24.855000,20.443054,15918200
2012-08-31,25.010000,25.030001,24.680000,24.805000,20.401928,11868200
2012-09-04,24.725000,24.895000,24.520000,24.754999,20.360798,10806200
2012-09-05,24.785000,25.325001,24.754999,24.900000,20.480057,12976400
2012-09-06,25.129999,25.495001,25.049999,25.420000,20.907763,11363200
2012-09-07,25.485001,25.660000,25.379999,25.584999,21.043468,10288200
2012-09-10,25.590000,25.660000,25.309999,25.415001,20.903643,13784000
2012-09-11,25.500000,25.639999,25.305000,25.365000,20.862522,13456200
2012-09-12,25.495001,25.725000,25.495001,25.584999,21.043468,11277400
2012-09-13,25.584999,25.924999,25.440001,25.860001,21.269655,11352000
2012-09-14,25.924999,26.000000,25.190001,25.230000,20.751480,24167200
2012-09-17,24.975000,25.035000,24.495001,24.830000,20.422482,21955400
2012-09-18,24.780001,24.820000,24.540001,24.625000,20.253876,17068800
2012-09-19,24.670000,25.205000,24.575001,25.055000,20.607546,14277200
2012-09-20,24.905001,25.605000,24.825001,25.594999,21.051691,18039800
2012-09-21,25.745001,25.825001,25.510000,25.535000,21.002342,18128000
2012-09-24,25.450001,25.715000,25.299999,25.580000,21.039358,9267000
2012-09-25,25.655001,25.840000,25.235001,25.264999,20.780268,14178400
2012-09-26,25.270000,25.500000,24.905001,25.049999,20.603439,13970800
2012-09-27,25.165001,25.535000,25.000000,25.520000,20.990007,11752400
2012-09-28,25.280001,25.480000,24.945000,25.355000,20.854296,16058600
2012-10-01,25.465000,25.650000,24.950001,25.075001,20.623995,15432600
2012-10-02,25.219999,25.219999,24.400000,24.650000,20.274441,21860200
2012-10-03,24.825001,24.915001,24.525000,24.745001,20.352579,15040200
2012-10-04,24.945000,24.965000,24.379999,24.549999,20.192190,24816200
2012-10-05,24.735001,24.815001,24.330000,24.370001,20.044142,17917000
2012-10-08,24.330000,24.584999,24.200001,24.379999,20.052366,15495600
2012-10-09,24.340000,24.490000,23.629999,23.674999,19.472506,24286400
2012-10-10,23.870001,23.905001,23.309999,23.475000,19.308010,22044000
2012-10-11,23.600000,23.760000,23.445000,23.580000,19.394373,17288400
2012-10-12,23.760000,23.844999,23.520000,23.590000,19.402601,17032800
2012-10-15,23.735001,23.910000,23.670000,23.834999,19.604109,13587600
2012-10-16,24.014999,24.639999,23.940001,24.480000,20.134611,17480600
2012-10-17,24.395000,24.584999,24.165001,24.195000,19.900204,14531000
2012-10-18,24.215000,24.275000,23.594999,23.705000,19.497181,19686400
2012-10-19,23.465000,23.475000,22.700001,22.844999,18.789839,36760000
2012-10-22,22.865000,22.870001,22.545000,22.650000,18.629448,16497400
2012-10-23,22.480000,22.590000,22.135000,22.485001,18.493746,22447600
2012-10-24,22.650000,22.764999,22.540001,22.629999,18.613005,17443800
2012-10-25,23.040001,23.434999,22.955000,23.125000,19.020136,23508200
2012-10-26,23.025000,23.100000,22.690001,22.934999,18.863857,21732800
2012-10-31,22.934999,23.094999,22.500000,22.950001,18.876204,17869200
2012-11-01,22.870001,23.370001,22.695000,23.309999,19.172297,25082400
2012-11-02,25.260000,25.969999,25.200001,25.420000,20.907763,54965400
2012-11-05,25.400000,25.645000,25.350000,25.504999,20.977667,20253800
2012-11-06,25.545000,26.100000,25.445000,25.855000,21.265539,16161600
2012-11-07,25.620001,26.150000,25.545000,25.905001,21.306667,19532000
2012-11-08,25.820000,25.870001,25.415001,25.430000,20.915983,15438000
2012-11-09,25.469999,25.750000,25.334999,25.480000,20.957109,14356400
2012-11-12,25.480000,25.680000,25.330000,25.340000,20.841959,9687800
2012-11-13,25.209999,25.510000,25.025000,25.155001,20.775890,9822400
2012-11-14,25.000000,25.240000,24.400000,24.420000,20.168837,22024400
2012-11-15,24.500000,24.535000,24.080000,24.215000,19.999533,15778000
2012-11-16,24.415001,24.500000,23.924999,24.379999,20.135805,18604400
2012-11-19,24.485001,25.000000,24.475000,24.870001,20.540508,12666600
2012-11-20,24.790001,25.165001,24.715000,25.030001,20.672649,10971600
2012-11-21,24.975000,25.320000,24.955000,25.254999,20.858471,8090400
2012-11-23,25.275000,25.660000,25.275000,25.594999,21.139290,4949400
2012-11-26,25.424999,25.514999,25.245001,25.445000,21.015394,7801000
2012-11-27,25.440001,25.730000,25.065001,25.105000,20.734587,10800600
2012-11-28,25.094999,25.700001,24.950001,25.684999,21.213619,10903000
2012-11-29,25.889999,26.155001,25.750000,25.900000,21.391193,12829000
2012-11-30,25.709999,26.004999,25.520000,25.934999,21.420094,11997400
2012-12-03,26.070000,26.135000,25.750000,25.895000,21.387066,13776000
2012-12-04,25.825001,25.990000,25.469999,25.559999,21.110382,12239000
2012-12-05,26.000000,26.070000,24.780001,25.395000,20.974102,27640200
2012-12-06,25.750000,26.924999,25.594999,26.850000,22.175808,49862000
2012-12-07,26.715000,27.000000,26.570000,26.820000,22.151028,21244200
2012-12-10,26.760000,26.850000,26.400000,26.480000,21.870226,14844400
2012-12-11,26.665001,26.750000,26.500000,26.594999,21.965202,15011400
2012-12-12,26.735001,27.094999,26.575001,26.799999,22.134520,18553000
2012-12-13,26.750000,27.155001,26.475000,26.590000,21.961065,14360600
2012-12-14,26.600000,26.875000,26.530001,26.680000,22.035404,9656200
2012-12-17,26.754999,27.334999,26.750000,27.290001,22.539215,16114800
2012-12-18,27.334999,27.450001,27.139999,27.170000,22.440104,15380800
2012-12-19,27.200001,27.424999,27.065001,27.135000,22.411194,14237200
2012-12-20,27.264999,27.305000,26.850000,27.105000,22.386419,9797800
2012-12-21,26.525000,26.844999,26.295000,26.799999,22.134520,22153600
2012-12-24,26.684999,27.000000,26.665001,26.844999,22.171682,3405800
2012-12-26,26.809999,26.895000,26.440001,26.565001,21.940428,6094200
2012-12-27,26.545000,26.820000,26.355000,26.620001,21.985855,9167200
2012-12-28,26.490000,26.635000,26.309999,26.320000,21.738073,6791400
2012-12-31,26.205000,26.834999,26.195000,26.815001,22.146910,9247000
2013-01-02,27.295000,27.500000,27.129999,27.500000,22.712652,13267600
2013-01-03,27.535000,27.805000,27.500000,27.684999,22.865450,14670400
2013-01-04,27.764999,28.000000,27.655001,27.844999,22.997595,10911400
2013-01-07,27.700001,27.895000,27.504999,27.860001,23.009985,8720000
2013-01-08,27.790001,27.860001,27.535000,27.809999,22.968685,9613400
2013-01-09,27.945000,27.950001,27.165001,27.315001,22.559868,16678400
2013-01-10,27.379999,27.584999,27.150000,27.270000,22.522690,14367600
2013-01-11,27.555000,27.620001,27.219999,27.504999,22.716784,13302600
2013-01-14,27.545000,27.750000,27.270000,27.334999,22.576380,11596400
2013-01-15,27.315001,27.395000,26.840000,27.240000,22.497915,13147800
2013-01-16,27.045000,27.209999,26.980000,27.174999,22.444229,8919000
2013-01-17,27.395000,27.450001,27.110001,27.250000,22.506180,9013000
2013-01-18,27.260000,27.514999,27.075001,27.405001,22.634192,13091600
2013-01-22,27.535000,27.535000,27.250000,27.495001,22.708527,11965000
2013-01-23,27.440001,27.465000,27.100000,27.230000,22.489651,10900800
2013-01-24,27.370001,27.450001,27.030001,27.285000,22.535086,23473600
2013-01-25,28.340000,28.635000,28.184999,28.405001,23.460106,30797200
2013-01-28,28.420000,28.575001,27.924999,28.010000,23.133875,13224800
2013-01-29,27.809999,28.004999,27.645000,27.799999,22.960434,12092600
2013-01-30,27.879999,28.100000,27.690001,28.000000,23.125614,13147600
2013-01-31,27.940001,28.245001,27.875000,28.059999,23.175171,10583000
2013-02-01,28.285000,28.549999,28.275000,28.430000,23.480753,9606200
2013-02-04,28.174999,28.355000,27.955000,28.045000,23.162779,7926400
2013-02-05,28.120001,28.225000,27.955000,28.100000,23.295414,8151400
2013-02-06,27.950001,28.145000,27.860001,28.025000,23.233252,7449000
2013-02-07,28.025000,28.030001,27.575001,27.930000,23.154486,9123600
2013-02-08,27.920000,28.325001,27.920000,28.184999,23.365892,7146400
2013-02-11,28.260000,28.260000,27.930000,28.070000,23.270555,5457400
2013-02-12,28.000000,28.275000,27.975000,28.129999,23.320295,8665600
